AIRLINE,IATA_CD,FLIGHT_CD,TERMINAL,GATE,EXIT,CODESHARE,MASTERID,SCHEDULED_TM,ESTIMATED_TM,STATUS,FLIGHT_TYPE
에어로케이항공,KIX,RF313,P02,105,B,Master,RF313,2025-11-19 00:05:00,2025-11-19 00:14:00,도착,I
비엣젯항공,PQC,VJ974,P02,113,B,Master,VJ974,2025-11-19 00:30:00,2025-11-19 00:33:00,도착,I
홍콩익스프레스,HKG,UO614,P02,111,B,Master,UO614,2025-11-19 01:35:00,2025-11-19 01:23:00,도착,I
캐세이퍼시픽항공,HKG,CX5614,P02,111,B,Slave,UO614,2025-11-19 01:35:00,2025-11-19 01:23:00,도착,I
비엣젯항공,PQC,VJ978,P02,112,B,Master,VJ978,2025-11-19 01:20:00,2025-11-19 01:35:00,도착,I
세부퍼시픽항공,MNL,5J188,P02,107,B,Master,5J188,2025-11-19 00:45:00,2025-11-19 01:49:00,도착,I
대한항공,DYG,KE164,P03,245,A,Master,KE164,2025-11-19 03:40:00,2025-11-19 03:54:00,도착,I
아시아나항공,HND,OZ177,P01,18,B,Master,OZ177,2025-11-19 04:10:00,2025-11-19 04:02:00,도착,I
전일본공수,HND,NH6895,P01,18,B,Slave,OZ177,2025-11-19 04:10:00,2025-11-19 04:02:00,도착,I
대한항공,YVR,KE076,P03,225,A,Master,KE076,2025-11-19 05:00:00,2025-11-19 04:20:00,도착,I
웨스트젯,YVR,WS6060,P03,225,A,Slave,KE076,2025-11-19 05:00:00,2025-11-19 04:20:00,도착,I
비엣젯항공,PQC,VJ976,P02,102,B,Master,VJ976,2025-11-19 04:00:00,2025-11-19 04:15:00,도착,I
대한항공,PEK,KE864,P03,235,A,Master,KE864,2025-11-19 04:20:00,2025-11-19 04:14:00,도착,I
샤먼항공,PEK,MF9095,P03,235,A,Slave,KE864,2025-11-19 04:20:00,2025-11-19 04:14:00,도착,I
진에어,GUM,LJ920,P03,263,A,Master,LJ920,2025-11-19 04:15:00,2025-11-19 04:13:00,도착,I
대한항공,GUM,KE418,P03,246,A,Master,KE418,2025-11-19 04:50:00,2025-11-19 04:21:00,도착,I
델타항공,GUM,DL7830,P03,246,A,Slave,KE418,2025-11-19 04:50:00,2025-11-19 04:21:00,도착,I
비엣젯항공,CXR,VJ836,P02,113,B,Master,VJ836,2025-11-19 04:30:00,2025-11-19 04:26:00,도착,I
제주항공,MNL,7C2104,P01,3,B,Master,7C2104,2025-11-19 04:10:00,2025-11-19 04:22:00,도착,I
한 에어,MNL,H19754,P01,3,B,Slave,7C2104,2025-11-19 04:10:00,2025-11-19 04:22:00,도착,I
베트남항공,CXR,VN440,P02,112,B,Master,VN440,2025-11-19 04:25:00,2025-11-19 04:25:00,도착,I
대한항공,CXR,KE5680,P02,112,B,Slave,VN440,2025-11-19 04:25:00,2025-11-19 04:25:00,도착,I
대한항공,KTM,KE696,P03,236,A,Master,KE696,2025-11-19 04:30:00,2025-11-19 04:25:00,도착,I
티웨이항공,HKG,TW644,P01,48,E,Master,TW644,2025-11-19 05:00:00,2025-11-19 04:27:00,도착,I
대한항공,HND,KE752,P03,219,A,Master,KE752,2025-11-19 04:50:00,2025-11-19 04:30:00,도착,I
일본항공,HND,JL5257,P03,219,A,Slave,KE752,2025-11-19 04:50:00,2025-11-19 04:30:00,도착,I
에어 프랑스,HND,AF5367,P03,219,A,Slave,KE752,2025-11-19 04:50:00,2025-11-19 04:30:00,도착,I
버진 애트란틱항공,HND,VS5530,P03,219,A,Slave,KE752,2025-11-19 04:50:00,2025-11-19 04:30:00,도착,I
대한항공,BKK,KE658,P03,249,A,Master,KE658,2025-11-19 04:45:00,2025-11-19 04:28:00,도착,I
케냐항공,BKK,KQ5150,P03,249,A,Slave,KE658,2025-11-19 04:45:00,2025-11-19 04:28:00,도착,I
델타항공,BKK,DL7858,P03,249,A,Slave,KE658,2025-11-19 04:45:00,2025-11-19 04:28:00,도착,I
아시아나항공,MNL,OZ704,P01,27,B,Master,OZ704,2025-11-19 05:00:00,2025-11-19 04:29:00,도착,I
델타항공,ATL,DL027,P03,253,B,Master,DL027,2025-11-19 05:45:00,2025-11-19 04:36:00,도착,I
대한항공,ATL,KE5036,P03,253,B,Slave,DL027,2025-11-19 05:45:00,2025-11-19 04:36:00,도착,I
에어프레미아,LAX,YP104,P01,6,B,Master,YP104,2025-11-19 05:10:00,2025-11-19 04:37:00,도착,I
대한항공,MNL,KE624,P03,248,A,Master,KE624,2025-11-19 04:25:00,2025-11-19 04:43:00,도착,I
대한항공,LAS,KE006,P03,241,A,Master,KE006,2025-11-19 05:20:00,2025-11-19 04:42:00,도착,I
델타항공,LAS,DL7832,P03,241,A,Slave,KE006,2025-11-19 05:20:00,2025-11-19 04:42:00,도착,I
아에로멕시코,MEX,AM090,P03,276,B,Master,AM090,2025-11-19 06:00:00,2025-11-19 04:59:00,도착,I
란항공,MEX,LA5114,P03,276,B,Slave,AM090,2025-11-19 06:00:00,2025-11-19 04:59:00,도착,I
아시아나항공,SEA,OZ271,P01,21,B,Master,OZ271,2025-11-19 05:20:00,2025-11-19 04:54:00,도착,I
유나이티드항공,SEA,UA7292,P01,21,B,Slave,OZ271,2025-11-19 05:20:00,2025-11-19 04:54:00,도착,I
