AIRLINE,IATA_CD,FLIGHT_CD,TERMINAL,GATE,CHECKIN_COUNTER,CODESHARE,MASTERID,SCHEDULED_TM,ESTIMATED_TM,STATUS,FLIGHT_TYPE
카타르항공,DOH,QR859,P01,31,H05-H18,Master,QR859,2025-11-19 00:20:00,2025-11-19 00:27:00,출발,I
이베리아항공,DOH,IB6329,P01,31,H05-H18,Slave,QR859,2025-11-19 00:20:00,2025-11-19 00:27:00,출발,I
영국항공,DOH,BA2293,P01,31,H05-H18,Slave,QR859,2025-11-19 00:20:00,2025-11-19 00:27:00,출발,I
란항공,DOH,LA6037,P01,31,H05-H18,Slave,QR859,2025-11-19 00:20:00,2025-11-19 00:27:00,출발,I
로얄 에어 모로코,DOH,AT5713,P01,31,H05-H18,Slave,QR859,2025-11-19 00:20:00,2025-11-19 00:27:00,출발,I
아시아나항공,DOH,OZ6889,P01,31,H05-H18,Slave,QR859,2025-11-19 00:20:00,2025-11-19 00:27:00,출발,I
르완다에어,DOH,WB1570,P01,31,H05-H18,Slave,QR859,2025-11-19 00:20:00,2025-11-19 00:27:00,출발,I
이스타항공,PVG,ZE871,P02,101,H31-H36,Master,ZE871,2025-11-19 00:30:00,2025-11-19 00:24:00,출발,I
피치항공,HND,MM808Y,P02,109,K19-K24,Master,MM808Y,2025-11-19 00:30:00,2025-11-19 00:36:00,출발,I
타이거에어 타이완,TPE,IT603,P02,110,M01-M05,Master,IT603,2025-11-19 00:30:00,2025-11-19 00:58:00,출발,I
비엣젯항공,PQC,VJ975,P02,113,E06-E18,Master,VJ975,2025-11-19 01:45:00,2025-11-19 01:34:00,출발,I
홍콩익스프레스,HKG,UO615,P02,111,K29-K34,Master,UO615,2025-11-19 02:20:00,2025-11-19 02:01:00,출발,I
캐세이퍼시픽항공,HKG,CX5615,P02,111,K29-K34,Slave,UO615,2025-11-19 02:20:00,2025-11-19 02:01:00,출발,I
비엣젯항공,PQC,VJ979,P02,112,E06-E18,Master,VJ979,2025-11-19 02:20:00,2025-11-19 02:21:00,출발,I
세부퍼시픽항공,MNL,5J187,P02,107,M27-M34,Master,5J187,2025-11-19 02:15:00,2025-11-19 02:53:00,출발,I
비엣젯항공,PQC,VJ977,P02,102,E12-E36,Master,VJ977,2025-11-19 05:00:00,2025-11-19 05:07:00,출발,I
베트남항공,CXR,VN441,P02,112,D12-D16,Master,VN441,2025-11-19 06:15:00,2025-11-19 06:02:00,출발,I
대한항공,CXR,KE5679,P02,112,D12-D16,Slave,VN441,2025-11-19 06:15:00,2025-11-19 06:02:00,출발,I
에어로케이항공,KIX,RF316,P02,105,K24-K27,Master,RF316,2025-11-19 06:20:00,2025-11-19 06:14:00,출발,I
비엣젯항공,CXR,VJ837,P02,113,E12-E36,Master,VJ837,2025-11-19 06:20:00,2025-11-19 06:14:00,출발,I
제주항공,FUK,7C1401,P02,130,L13-L36,Master,7C1401,2025-11-19 06:30:00,2025-11-19 06:29:00,출발,I
한 에어,FUK,H19827,P02,130,L13-L36,Slave,7C1401,2025-11-19 06:30:00,2025-11-19 06:29:00,출발,I
이스타항공,YNT,ZE817,P02,104,H24-J25,Master,ZE817,2025-11-19 06:45:00,2025-11-19 06:39:00,출발,I
비엣젯항공,CXR,VJ835,P02,117,E12-E36,Master,VJ835,2025-11-19 06:45:00,2025-11-19 06:46:00,출발,I
아시아나항공,KIX,OZ112,P01,40,A03-C34,Master,OZ112,2025-11-19 06:45:00,2025-11-19 06:46:00,출발,I
에티하드 항공,KIX,EY8448,P01,40,A03-C34,Slave,OZ112,2025-11-19 06:45:00,2025-11-19 06:46:00,출발,I
전일본공수,KIX,NH6952,P01,40,A03-C34,Slave,OZ112,2025-11-19 06:45:00,2025-11-19 06:46:00,출발,I
진에어,FUK,LJ261,P03,260,G17-H40,Master,LJ261,2025-11-19 06:50:00,2025-11-19 06:50:00,출발,I
바틱 에어 말레이시아,KUL,OD821,P01,50,J31-J35,Master,OD821,2025-11-19 06:50:00,2025-11-19 07:08:00,출발,I
세부퍼시픽항공,MNL,5J185,P02,110,M19-M24,Master,5J185,2025-11-19 07:00:00,2025-11-19 07:02:00,출발,I
비엣젯항공,DAD,VJ879,P02,123,E12-E36,Master,VJ879,2025-11-19 07:00:00,2025-11-19 07:17:00,출발,I
에어아시아 버하드,BKI,AK1624,P02,125,J01-J05,Master,AK1624,2025-11-19 07:00:00,2025-11-19 07:02:00,출발,I
제주항공,MYJ,7C1721,P01,22,L13-L36,Master,7C1721,2025-11-19 07:00:00,2025-11-19 07:04:00,출발,I
한 에어,MYJ,H19945,P01,22,L13-L36,Slave,7C1721,2025-11-19 07:00:00,2025-11-19 07:04:00,출발,I
대한항공,PUS,KE1401,P03,232,-,Master,KE1401,2025-11-19 07:00:00,2025-11-19 07:03:00,출발,D
델타항공,PUS,DL7855,P03,232,-,Slave,KE1401,2025-11-19 07:00:00,2025-11-19 07:03:00,출발,D
제주항공,KIX,7C1301,P01,41,L13-L36,Master,7C1301,2025-11-19 07:00:00,2025-11-19 07:05:00,출발,I
한 에어,KIX,H19810,P01,41,L13-L36,Slave,7C1301,2025-11-19 07:00:00,2025-11-19 07:05:00,출발,I
필리핀항공,CEB,PR487,P01,47,M25-M36,Master,PR487,2025-11-19 07:05:00,2025-11-19 07:06:00,출발,I
제주항공,FSZ,7C1601,P02,119,L13-L36,Master,7C1601,2025-11-19 07:10:00,2025-11-19 07:10:00,출발,I
한 에어,FSZ,H19912,P02,119,L13-L36,Slave,7C1601,2025-11-19 07:10:00,2025-11-19 07:10:00,출발,I
아시아나항공,BKK,OZ743,P01,8,A03-C35,Master,OZ743,2025-11-19 07:10:00,2025-11-19 07:12:00,출발,I
타이항공,BKK,TG6756,P01,8,A03-C35,Slave,OZ743,2025-11-19 07:10:00,2025-11-19 07:12:00,출발,I
비엣젯항공,HPH,VJ925,P02,106,E12-E36,Master,VJ925,2025-11-19 07:15:00,2025-11-19 07:19:00,출발,I
이스타항공,NRT,ZE605,P02,122,H24-J25,Master,ZE605,2025-11-19 07:15:00,2025-11-19 07:21:00,출발,I
에어부산,FUK,BX156,P03,280,E11-E20,Master,BX156,2025-11-19 07:15:00,2025-11-19 07:17:00,출발,I
아시아나항공,FUK,OZ9576,P03,280,E11-E20,Slave,BX156,2025-11-19 07:15:00,2025-11-19 07:17:00,출발,I
제주항공,TAG,7C2121,P01,38,L13-L36,Master,7C2121,2025-11-19 07:15:00,2025-11-19 07:12:00,출발,I
한 에어,TAG,H19792,P01,38,L13-L36,Slave,7C2121,2025-11-19 07:15:00,2025-11-19 07:12:00,출발,I
제주항공,CTS,7C1501,P02,101,L13-L36,Master,7C1501,2025-11-19 07:20:00,2025-11-19 07:24:00,출발,I
한 에어,CTS,H19794,P02,101,L13-L36,Slave,7C1501,2025-11-19 07:20:00,2025-11-19 07:24:00,출발,I
티웨이항공,OKA,TW279,P02,118,F19-F36,Master,TW279,2025-11-19 07:20:00,2025-11-19 07:23:00,출발,I
중국동방항공,YNT,MU5050,P02,132,H01-H18,Master,MU5050,2025-11-19 07:25:00,2025-11-19 07:19:00,출발,I
대한항공,YNT,KE5845,P02,132,H01-H18,Slave,MU5050,2025-11-19 07:25:00,2025-11-19 07:19:00,출발,I
진에어,NRT,LJ201,P03,249,G17-H40,Master,LJ201,2025-11-19 07:25:00,2025-11-19 07:24:00,출발,I
대한항공,NRT,KE5741,P03,249,G17-H40,Slave,LJ201,2025-11-19 07:25:00,2025-11-19 07:24:00,출발,I
