IATA_CODE,ICAO_CODE,AIRPORT_NAME_KOR,AIRPORT_NAME_ENG,REGION,NATION_NAME_KOR,NATION_NAME_ENG,CITY_KOR,CITY_ENG,LATITUDE,LONGITUDE
YVR,CYVR,밴쿠버 국제공항,Vancouver International Airport,북미캐나다,캐나다,Canada,밴쿠버,Vancouver,49.193901062,-123.183998108
YYZ,CYYZ,토론토 피어슨 국제공항,Toronto Pearson International Airport,북미캐나다,캐나다,Canada,토론토,Toronto,43.6772,-79.6306
BRU,EBBR,브뤼셀 공항,Brussels Airport,유럽,벨기에,Belgium,브뤼셀,Brussels,50.901402,4.48444
FRA,EDDF,프랑크푸르트 공항,Frankfurt Airport,유럽,독일,Germany,프랑크푸르트,Frankfurt,50.030241,8.561096
HEL,EFHK,헬싱키 공항,Helsinki Airport,유럽,핀란드,Finland,헬싱키,Helsinki,60.318363,24.963341
LHR,EGLL,히드로 공항,Heathrow Airport,유럽,영국,United Kingdom,런던히드로,London,51.4706,-0.461941
AMS,EHAM,암스테르담 스키폴 공항,Amsterdam AirportSchiphol,유럽,네덜란드,Netherlands,암스테르담,Amsterdam,52.308601,4.76389
CPH,EKCH,코펜하겐 카스트럽 공항,Copenhagen Airport Kastrup,유럽,덴마크,Denmark,코펜하겐,Copenhagen,55.617900848389,12.656000137329
OSL,ENGM,오슬로 공항 가르데르모엔,Oslo Airport Gardermoen,유럽,노르웨이,Norway,오슬로,Oslo,60.193901,11.1004
WAW,EPWA,바르샤바 쇼팽 공항,Warsaw Chopin Airport,유럽,폴란드,Poland,바르샤바,Warsaw,52.165699,20.9671
WAW,EPWA,바르샤바 쇼팽 공항(신공항),Warsaw Chopin Airport(New),유럽,폴란드,Poland,바르샤바,Warsaw,52.165699,20.9671
ADD,HAAB,아디스 아바바 볼레 국제공항,Addis Ababa Bole International Airport,중동아프리카,이디오피아,Ethiopia,아디스아바바,Addis Ababa,8.97789,38.799301
ATL,KATL,하츠필드 잭슨 애틀랜타 국제공항,HartsFieldJackson Atlanta International Airport,북미캐나다,미국,United States of America,애틀랜타,Atlanta,33.6367,-84.428101
BOS,KBOS,로건 국제공항,Logan International Airport,북미캐나다,미국,United States of America,보스턴,Boston,42.36197,-71.0079
CVG,KCVG,신시내티/노던 켄터키 국제공항,Cincinnati/Northern Kentucky International Airport,북미캐나다,미국,United States of America,신시내티,Cincinnati,39.048801,-84.667801
DFW,KDFW,댈러스/포트워스 국제공항,Dallas/Fort Worth International Airport,북미캐나다,미국,United States of America,댈러스,Dallas,32.896801,-97.038002
DTW,KDTW,디트로이트 메트로폴리탄 웨인 카운티 공항,Detroit Metropolitan Wayne County Airport,북미캐나다,미국,United States of America,디트로이트,Detroit,42.21377,-83.353786
EWR,KEWR,뉴어크 리버티 국제공항,Newark Liberty International Airport,북미캐나다,미국,United States of America,뉴어크 리버티 국제공항,Newark,40.692501,-74.168701
IAD,KIAD,워싱턴 덜레스 국제공항,Washington Dulles International Airport,북미캐나다,미국,United States of America,워싱톤,Washington,38.9445,-77.455803
IND,KIND,인디애나폴리스 국제공항,Indianapolis International Airport,북미캐나다,미국,United States of America,인디애나폴리스,Indianapolis,39.7173,-86.294403
JFK,KJFK,존 F 케네디 국제공항,John F Kennedy International Airport,북미캐나다,미국,United States of America,뉴욕,New York,40.639447,-73.779317
LAS,KLAS,해리 리드 국제공항,Harry Reid International Airport,북미캐나다,미국,United States of America,라스베이거스,Las Vegas,36.083361,-115.151817
LAX,KLAX,로스 앤젤레스 국제공항,Los Angeles International Airport,북미캐나다,미국,United States of America,로스앤젤레스,Los Angeles,33.942501,-118.407997
